sno,type,title,chapters,status,genres,popularity,score,authors,publish_time
695,manhwa,The Dark Lord's Confession,NULL,Publishing,"Adventure,Fantasy",17594,7,Tapseung (Story & Art),"Apr  16, 2022 to "
696,manhwa,Is This Hero for Real?,NULL,Publishing,"Action,Fantasy",4335,7,"Parnar (Story), Ppayong (Art)","Feb  19, 2022 to "
697,manhwa,The Crimson Lady,NULL,Publishing,"Fantasy,Suspense",9668,7,"Cha, Seojin (Story), Taegong (Art)","Aug  7, 2022 to "
698,manhwa,I Stole the Number One Ranker's Soul,NULL,Publishing,"Action,Fantasy",15347,7,"Sulpurenamu (Story), Ijeong (Art)","Sep  9, 2022 to "
699,manhwa,Lips Upon a Sword's Edge,NULL,Publishing,"Fantasy,Romance",15761,7,"Yunsul (Story), Mwagwa (Art)","Oct  8, 2022 to "
700,manhwa,Poison-Eating Healer,NULL,Publishing,"Action,Fantasy",9759,7,"Park, Kyungwon (Story), Team Pove (Art)","Dec  11, 2022 to "
701,manhwa,Boundless Ascension,NULL,Publishing,"Action,Fantasy",6111,7,"Seonun (Story), 2 Sarang (Art)","Dec  17, 2022 to "
702,manhwa,Demon King of the Royal Class,NULL,Publishing,"Action,Fantasy",9455,7,"Geuljaengi S (Story), Ronopu (Art)","Jan  27, 2023 to "
703,manhwa,Drug-Eating Genius Mage,NULL,Publishing,"Action,Adventure,Fantasy",10663,7,"Geulgeunyuk (Story), Choegom (Art)","Feb  28, 2023 to "
704,manhwa,The Constellations Are My Disciples,NULL,Publishing,"Action,Fantasy",12665,7,"Bangguseok Kim-ssi (Story), Studio Inus (Art)","Mar  2, 2023 to "
705,manhwa,Beautiful Fascination is Better Than Love,15,Finished,"Drama,Romance",7545,7,"Lee, Hyeon-Sook (Story & Art)",2004 to 
706,manhwa,The Antique Gift Shop,16,Finished,"Drama,Fantasy",21150,7,"Lee, Eun (Story)",2004
707,manhwa,Ping,30,Finished,"Action,Ecchi",3950,7,"Lee, Jong-Kyu (Story), Kim, Youn-Kyung (Art)",2007
708,manhwa,Gwi,34,Finished,"Action,Adventure",6147,7,"Kim, Young-Oh (Art), Ghun, Oh Rhe Bar (Story)",2006 to  2008
709,manhwa,Become Habituated to Kiss,75,Finished,"Comedy,Romance",5596,7,"Hwang, Mi Ri (Story & Art)",2008 to 
710,manhwa,Lover Puzzle,NULL,Finished,"Comedy,Drama,Romance",17343,6.99,"Hwang, Mi Ri (Story & Art)","Feb  19, 2010 to Apr  2, 2010"
711,manhwa,Dark Mage,21,Finished,"Action,Fantasy",8858,6.99,"Kang, Jae-Sin (Art), Kim, Jung Ryul (Story)",2005 to 
712,manhwa,Trash Belongs in the Trash Can!,NULL,Publishing,Romance,12307,6.99,EDDiERiNG (Story & Art),"Feb  15, 2022 to "
713,manhwa,The Heiress's Double Life,NULL,Publishing,"Fantasy,Romance",12623,6.99,"Go, Eunchae (Story), Ssangpil (Art)","Oct  14, 2021 to "
714,manhwa,NOW,NULL,Finished,"Action,Adventure",16956,6.99,"Park, Sung-Woo (Story & Art)",2001 to  2006
715,manhwa,The Poet Who Buys Words,3,Finished,Drama,9273,6.99,"Uhm, Jung-Hyun (Story & Art)",2006
716,manhwa,Wa!,NULL,Finished,"Comedy,Romance",20532,6.99,"Yoo, Ha Jin (Story & Art)",2002 to  2003
717,manhwa,HWA,7,Finished,"Love,Drama,Romance",13973,6.99,"Lee, Young Hui (Story & Art)",NULL
718,manhwa,SM Hunter,NULL,Finished,"Action,Fantasy,Romance,Sci-Fi",19496,6.99,"Na, You (Story & Art)",2005 to 
719,manhwa,Delinquent Lesson,NULL,Finished,"Comedy,Romance",8270,6.99,"Yeon, Doo (Story), Kim, Ye Vin (Art)",2006 to  2007
720,manhwa,All of You in the World,NULL,Finished,"Comedy,Romance",15332,6.99,"Hwang, Mi Ri (Story & Art)",Sep  2009 to Nov  2009
721,manhwa,Unbalance x3,NULL,Publishing,"Drama,Romance,Ecchi",2988,6.98,"Im, Dal Young (Story), Lee, Soo Hyun (Art)","Sep  1, 2015 to "
722,manhwa,Nan Eomma Nun Appa,NULL,Finished,Romance,9927,6.98,"Hwang, Mi Ri (Story & Art)","Jan  28, 2011 to Jun  3, 2011"
723,manhwa,Taming the Cat Master,45,Finished,Unknown,15859,6.98,"Han, Yu-Rang (Story & Art)",2010 to 
724,manhwa,Dallae,25,Finished,"Love,Supernatural",28291,6.98,Choonae (Story & Art),"Apr  3, 2017 to Jun  10, 2018"
725,manhwa,Peach Love,65,Finished,Love,14611,6.98,Fujoking (Story & Art),"Oct  21, 2015 to Apr  2, 2018"
726,manhwa,Hissing,NULL,Finished,Romance,17583,6.98,"Kang, Eun Young (Story & Art)","2003 to Jul  15, 2005"
727,manhwa,Jack Frost,95,Finished,"Action,Comedy,Horror,Supernatural",3005,6.98,"Go, Jin-Ho (Story & Art)",2005 to  2014
728,manhwa,The Descendant of the Dynasty,NULL,Finished,"Action,Comedy,Drama,Fantasy,Mystery,Romance",18919,6.98,"Hwang, Mi Ri (Story & Art)",2001 to 
729,manhwa,"Oh, Chunja Chunja! High School Bullying",NULL,Finished,Comedy,16837,6.98,"Hwang, Mi Ri (Story & Art)",NULL
730,manhwa,The Divine Twilight's Return,NULL,Publishing,"Action,Adventure,Fantasy",4655,6.98,"Yang, Kyung-il (Art), Sadoyeon (Story)","Nov  29, 2021 to "
731,manhwa,The Tutorial Is Too Tough!,NULL,Publishing,"Action,Fantasy",4014,6.98,"Gandara (Story), Imae, Daiki (Art)","Jan  31, 2021 to "
732,manhwa,Empress of Another World,130,Finished,"Drama,Fantasy,Romance",10205,6.98,"Lee, Young-You (Art), Lim, Seorim (Story)","Jul  31, 2016 to Apr  29, 2019"
733,manhwa,Tacit,NULL,Publishing,"Action,Adventure,Sci-Fi",17184,6.98,"Kim, Dazzi (Story & Art)","Feb  22, 2021 to "
734,manhwa,My Fair Footman,102,Finished,Romance,14909,6.98,"Lee, Jaa (Story), Ggory (Art)","Dec  11, 2018 to Jan  27, 2021"
735,manhwa,Crush of a Lifetime,90,Finished,"Comedy,Romance",17064,6.98,"Jeong, Halim (Story), Kim, Yeonwoo (Art)","Nov  6, 2019 to Jun  30, 2021"
736,manhwa,A Dance of Swords in the Night,NULL,Publishing,"Action,Fantasy",8142,6.98,"Yu, Jinsung (Story), Songmin (Art)","Jun  7, 2022 to "
737,manhwa,Knight Under My Heart,41,Finished,"Action,Fantasy",14465,6.98,"Rasne (Story), Han, Sungwoo (Art)","Feb  18, 2022 to Nov  29, 2022"
738,manhwa,My Farm by the Palace,NULL,Publishing,"Fantasy,Romance",19446,6.98,"Jungyeon (Story), Ollcha (Art)","Apr  30, 2022 to "
739,manhwa,Auto Hunting With My Clones,NULL,Publishing,"Action,Fantasy",9972,6.98,"Mongsik (Story), Opal (Art)","Sep  3, 2022 to "
740,manhwa,The Breaker: Eternal Force,NULL,Publishing,Action,4772,6.97,"Park, Jin-Hwan (Art), Jeon, Geuk-jin (Story)","May  5, 2022 to "
741,manhwa,I Am the Sorcerer King,143,Finished,"Action,Adventure,Fantasy",4302,6.97,"Decaspell (Story), Miro (Art)","May  31, 2019 to Jun  5, 2021"
742,manhwa,The Duke's Bored Daughter Is My Master,NULL,Publishing,"Fantasy,Romance",10270,6.97,"Royal B (Story), Gaeul (Art)","Feb  28, 2022 to "
743,manhwa,Epilogue,23,Finished,Suspense,31337,6.97,"Jo, Seok (Story & Art)","Aug  10, 2020 to Dec  21, 2021"
744,manhwa,My Dad Is Too Strong,NULL,Publishing,"Action,Comedy,Fantasy",6593,6.97,"Gaebyeok S (Story), Modain (Art)","Jul  28, 2020 to "
745,manhwa,Surviving as the Illegitimate Princess,NULL,Publishing,Fantasy,13545,6.97,"Seo, Gyeol (Story & Art)","Jul  7, 2022 to "
746,manhwa,Chronicles of the Demon Faction,NULL,Publishing,"Action,Fantasy",17068,6.97,"codezero (Story), Molli (Art)","Mar  24, 2023 to "
747,manhwa,For the Sake of Both,24,Finished,"Comedy,Drama,Romance",17353,6.97,"Hwang, Mi Ri (Story & Art)","Oct  28, 2009 to "
748,manhwa,Under the Glass Moon,18,Finished,"Action,Supernatural",15161,6.97,"Ko, Ya Seong (Story & Art)",2001 to 
749,manhwa,Land of Silver Rain,29,Finished,"Fantasy,Romance",11743,6.97,"Lee, Mira (Story & Art)",2004 to  2007
750,manhwa,A Wolf Warning,NULL,Finished,"Comedy,Romance,Life",16126,6.97,"Kim, Yun-Jung (Story & Art)",2006 to  2008
751,manhwa,La Mosca,46,Finished,"Action,Mystery,Sci-Fi,Supernatural",7898,6.97,"Kang, Hyung Kyu (Story & Art)","Jun  15, 2008 to Jun  30, 2010"
752,manhwa,How to Hate Mate,26,Finished,Love,25657,6.97,Reck (Story & Art),"Dec  18, 2016 to Dec  10, 2018"
753,manhwa,Meow Man,25,Finished,"Comedy,Romance,Supernatural",15684,6.97,Olso (Story & Art),"Mar  16, 2018 to Feb  11, 2021"
754,manhwa,A Royal Princess with Black Hair,107,Finished,"Comedy,Fantasy,Romance",8435,6.97,"Ellianyang (Story), Pang-e (Art)","Nov  15, 2019 to Jun  2, 2023"
755,manhwa,Mango's Bone,60,Finished,"Drama,Romance",26633,6.96,"Gold Kiwi Sae (Story & Art), Neokbujadeul (Art)","Apr  24, 2016 to Aug  20, 2017"
756,manhwa,The Greatest Wolf of My Life,89,Finished,"Romance,Supernatural",26775,6.96,"Kim, Byung-gwan (Art), Ran (Story)","Dec  12, 2017 to Jun  25, 2019"
757,manhwa,The Max Level Hero Strikes Back,NULL,Publishing,"Action,Adventure,Fantasy",2044,6.96,"Angmakkori (Story), Yudo (Art)","Oct  26, 2020 to "
758,manhwa,Reawakened Man,175,Finished,"Action,Supernatural",11675,6.96,"Chae, Yongtaek (Story), Kim, Jaehan (Art)","May  6, 2016 to Dec  6, 2019"
759,manhwa,Queen in the Shadows,60,Finished,"Drama,Fantasy",8597,6.96,"Hayul (Story), Kinlip (Art)","Aug  16, 2020 to Jun  28, 2021"
760,manhwa,The Wolf & Red Riding Hood,63,Finished,"Comedy,Romance,Supernatural",17695,6.96,Xuann (Story & Art),"Aug  31, 2018 to Oct  11, 2019"
761,manhwa,My Younger Brother's Friend,87,Finished,Romance,16645,6.96,Nimni (Story & Art),"Mar  19, 2021 to Oct  15, 2022"
762,manhwa,Mystic Musketeer,NULL,Publishing,"Action,Fantasy",5216,6.96,"Lee, Subaek (Story), Glpi (Art)","Feb  10, 2021 to "
763,manhwa,Book Eater,NULL,Publishing,"Action,Adventure,Fantasy",6899,6.96,"Mackenro (Story), Crew Eastwood (Art)","Jul  23, 2021 to "
764,manhwa,The Second Coming of Gluttony,NULL,Publishing,"Action,Adventure,Fantasy",4520,6.96,"Ro, Yu-jin (Story), Ahn, Jonghyuk (Art)","Dec  4, 2019 to "
765,manhwa,I'm All Out of Health!,NULL,Publishing,"Fantasy,Romance",12552,6.96,"Lee, Haron (Story), Vanilla (Art)","Jul  31, 2021 to "
766,manhwa,The Perfect Plan for a Fairy-Tale Ending,NULL,Publishing,"Fantasy,Romance",12098,6.96,"Yangyang (Art), Peach Pie (Story)","Mar  19, 2022 to "
767,manhwa,The Archvillain's Daughter-In-Law,NULL,Publishing,Fantasy,13118,6.96,"Basak (Art), Yunajin (Story)","Jan  31, 2022 to "
768,manhwa,The Perfect Hybrid,NULL,Publishing,"Action,Fantasy",8318,6.96,"Soul Pung (Story), Clover (Art)","Aug  3, 2022 to "
769,manhwa,Doctor Player,NULL,Publishing,"Action,Adventure,Fantasy",10546,6.96,"Yuin (Story), Rikodaram (Art)","Dec  2, 2022 to "
770,manhwa,The Little Brother Is the Academy's Hotshot,NULL,Publishing,"Action,Fantasy",20679,6.96,"Bae, Hanul (Story), jd (Art)","Feb  24, 2023 to "
771,manhwa,The Knight King Who Returned with a God,NULL,Publishing,"Action,Fantasy",12175,6.96,"Saram Sallyeo. (Story), Jeoncheon Huma Geomsa (Art)","May  22, 2023 to "
772,manhwa,PhD: Phantasy Degree,106,Finished,"Action,Adventure,Comedy,Fantasy",11328,6.96,"Son, Hee-Joon (Story & Art)","Jun  19, 2001 to Dec  2004"
773,manhwa,Why Do You Love Me?,NULL,Publishing,"Drama,Romance",15273,6.96,Wann (Story & Art),2003 to 
774,manhwa,The Missing White Dragon,5,Finished,"Comedy,Drama",20317,6.96,"Park, Young Ha (Story & Art)","Jan  15, 2005"
775,manhwa,Unplugged Boy,17,Finished,"Comedy,Romance",24311,6.96,"Chon, Kye Young (Story & Art)",NULL
776,manhwa,A Love in 100 Days,NULL,Finished,Comedy,15737,6.96,"Hwang, Mi Ri (Story & Art)",2008
777,manhwa,The Bear-Like Fox Meets The Wolf,NULL,Finished,Unknown,14398,6.96,"Han, Yu-Rang (Story & Art)",NULL
778,manhwa,Sambong Barber Shop,37,Finished,"Action,Drama,Romance,Life",10841,6.96,"Ha, Il-Kwon (Story & Art)",2008
779,manhwa,Never Cry,NULL,Finished,"Comedy,Romance",18431,6.95,"Han, Yu-Rang (Story & Art)",NULL
780,manhwa,Mary Stayed Out All Night,38,Finished,"Comedy,Romance",15647,6.95,"Won, Soo-yeon (Story & Art)","Feb  5, 2009 to  2012"
781,manhwa,Charlotte and Her 5 Disciples,NULL,Publishing,"Fantasy,Romance",5595,6.95,YongYong (Story & Art),"Oct  3, 2019 to "
782,manhwa,X & Ash,NULL,Publishing,"Action,Fantasy",18966,6.95,"Lee, Gwang-Su (Art), Kim, Sehoon (Story)","Oct  29, 2021 to "
783,manhwa,The Lady's Butler,95,Finished,"Fantasy,Romance",14315,6.95,"Ha, Yaeji (Story), Cheomji (Art)","Jul  18, 2020 to May  23, 2022"
784,manhwa,I Woke Up as the Villain,NULL,Publishing,"Action,Fantasy",8307,6.95,"Soo, Yuhyeon (Story), Arlg (Art)","Sep  18, 2020 to "
785,manhwa,My Ray of Hope,NULL,Publishing,"Fantasy,Romance",17113,6.95,"Yoon, Hawol (Story), TK (Art)","Dec  25, 2021 to "
786,manhwa,The Hero Returns,NULL,Publishing,"Action,Fantasy",3907,6.95,"Heuk Ain (Story), Yungun (Art)","Mar  3, 2022 to "
787,manhwa,The Doctor Is Out,NULL,Publishing,"Fantasy,Romance",20268,6.95,"Yunajin (Story), Sugle (Art)","Aug  31, 2022 to "
788,manhwa,Happy if You Died,61,Finished,"Comedy,Drama,Romance,Supernatural",14143,6.95,Gold Kiwi Sae (Story & Art),"Apr  7, 2015 to Oct  18, 2016"
789,manhwa,Moritat,53,Finished,"Love,Suspense",18053,6.95,"Lee, Sunee (Story), Seokyeong (Art)","Oct  4, 2015 to Mar  14, 2017"
790,manhwa,Faeries' Landing,NULL,Finished,"Action,Adventure,Comedy,Drama,Fantasy,Romance,Supernatural",8640,6.95,"Hyun, You (Story & Art)",1999 to 
791,manhwa,Metal Heart,NULL,Finished,"Comedy,Fantasy,Romance,Sci-Fi,Ecchi",8352,6.95,"Yoon, Jae Ho (Story & Art)",2004 to  2009
792,manhwa,50 Rules for Teenagers,NULL,Finished,"Drama,Romance",13119,6.95,"Na, Yeri (Story & Art)",NULL
793,manhwa,Shin Gumiho,77,Finished,"Comedy,Fantasy,Supernatural",24400,6.95,"Han, Hyun-Dong (Story & Art)",2002 to 
794,manhwa,Confessing Truthfully,34,Finished,Romance,18704,6.95,"Ryu, Riang (Story & Art)",NULL
795,manhwa,Gangster Hero,NULL,Finished,Comedy,14032,6.95,"Hwang, Mi Ri (Story & Art)",NULL
796,manhwa,To Find My Brother Ara,47,Finished,Romance,15239,6.95,"Hwang, Mi Ri (Story & Art)",NULL
797,manhwa,Personalized Princess,NULL,Finished,"Comedy,Romance",17798,6.95,"Hwang, Mi Ri (Story & Art)",NULL
798,manhwa,Thirsty Thirty,NULL,Finished,"Romance,Life",24940,6.95,"Jung, Eun Soo (Story & Art)","Dec  1, 2013 to May  1, 2018"
799,manhwa,"I'll Raise You Well in This Life, Your Majesty!",NULL,Publishing,"Drama,Fantasy",10952,6.94,"Jaha (Story), Steak (Art)","Dec  13, 2021 to "
800,manhwa,Wife After Love,87,Finished,Romance,21265,6.94,"Lee, Bona (Story), Jeong, Dageum (Art)","Oct  3, 2020 to Aug  25, 2021"
801,manhwa,Can We Become Family?,NULL,Publishing,"Drama,Fantasy",13358,6.94,"Hanirim (Story), Matcha Vienna (Art)","Sep  17, 2021 to "
802,manhwa,Jack Be Invincible,NULL,Publishing,"Action,Fantasy",5485,6.94,"Neogulhi (Story), K (Art)","Mar  12, 2022 to "
803,manhwa,World's Strongest Troll,NULL,Publishing,"Action,Fantasy",11402,6.94,"Gunmandu Meokja (Story), Yato (Art)","Oct  26, 2022 to "
804,manhwa,Chronicles of the Cursed Sword,163,Finished,"Action,Adventure,Drama,Fantasy",7667,6.94,"Yeo, Beop-Ryong (Story), Park, Hui-Jin (Art)",1999 to  2009
805,manhwa,Honey Mustard,23,Finished,"Comedy,Romance",16737,6.94,"Yeo, Ho Kyoung (Story & Art)",2003 to  2004
806,manhwa,Hoosamguk High,NULL,Finished,Romance,19274,6.94,"Hwang, Mi Ri (Story & Art)",NULL
807,manhwa,Yaya,38,Finished,"Drama,Romance",14500,6.94,"Kang, Eun Young (Story & Art)",2000
808,manhwa,Sunaebo,26,Finished,"Drama,Romance,Life",17542,6.94,"Park, Eun Ah (Story), Yoon, Ji Woon (Story), Rhim, Ju-Yeon (Story & Art), Seo, Moon Da Mi (Story), Kim, Yeong-Eun (Story), Lee, Shi Young (Story), Kim, Se-Young (Story & Art), Lee, Hyeon-Sook (Story), Kwon, Gyo-jung (Story & Art)",2005 to 
809,manhwa,Her True Color,NULL,Finished,Romance,22528,6.93,"Han, Yu-Rang (Story & Art)",NULL
810,manhwa,To Love Our Enemies,NULL,Finished,Romance,20354,6.93,"Han, Yu-Rang (Story & Art)",2006 to 
811,manhwa,Eohwadungdungnae Boreumi,NULL,Finished,"Fantasy,Romance,Supernatural",18545,6.93,"Lee, Yun-hee (Story & Art)",2010 to  2013
812,manhwa,Rebirth Knight,NULL,Publishing,"Action,Drama,Romance",8734,6.93,"Yu, Jaebeom (Story & Art)","Jul  12, 2013 to "
813,manhwa,The Sweetest Man,NULL,Finished,"Love,Supernatural",21774,6.93,Haejin (Story & Art),"May  12, 2015 to Mar  20, 2020"
814,manhwa,She's My Type,NULL,Publishing,"Comedy,Drama,Romance",18820,6.93,Roseong (Story & Art),"Apr  1, 2018 to "
815,manhwa,Save Me,16,Finished,"Drama,Suspense",12854,6.93,LICO (Art),"Jan  17, 2019 to Apr  4, 2019"
816,manhwa,Anuki,51,Finished,"Action,Adventure",11502,6.93,"Lee, Ji Gun (Story), Son, Chang-eun (Story), Yamesi (Art)","Apr  14, 2001 to Feb  13, 2004"
817,manhwa,Dungeon Reset,NULL,Publishing,"Action,Adventure,Fantasy",3220,6.93,"Ant Studio (Art), Daul (Story)","Mar  3, 2020 to "
818,manhwa,I Get Stronger the More I Eat,NULL,Publishing,"Action,Adventure,Fantasy",4492,6.93,"Ttosok-eun Naengjuk (Story), Kitaeon (Art)","May  31, 2021 to "
819,manhwa,Reborn as a Scholar,NULL,Publishing,Action,8577,6.93,"Soo, Yuhyeon (Story), Yumjjakjjak (Art)","Oct  9, 2016 to "
820,manhwa,Girl in the Birdcage,50,Finished,Love,21271,6.92,Koer (Story & Art),"Jan  17, 2018 to Jan  23, 2019"
821,manhwa,"God, Please Make Me a Demon!",67,Finished,"Comedy,Supernatural",16534,6.92,"Bulsa (Story), Yomgary (Art)","Apr  7, 2021 to Jun  30, 2022"
822,manhwa,Disciple of the Holy Sword,NULL,Publishing,"Action,Adventure,Fantasy",6517,6.92,"Mackenro (Story), Bol x Bae (Art)","Jun  4, 2022 to "
823,manhwa,Money Game,60,Finished,Suspense,28238,6.92,"Bae, Jin-Soo (Story & Art)","Nov  23, 2018 to Dec  20, 2019"
824,manhwa,The Lord of Coins,NULL,Publishing,"Action,Adventure,Fantasy",4595,6.92,"Mokhyun (Story), Trouvere (Art)","Apr  30, 2021 to "
825,manhwa,The Villainess Tames the Beast,NULL,Publishing,"Fantasy,Romance",8264,6.92,"Norae (Art), Seolyoung (Story)","Jun  24, 2022 to "
826,manhwa,Horang's Nightmare,10,Finished,Horror,21498,6.92,Horang (Story & Art),"Aug  31, 2020 to Nov  2, 2020"
827,manhwa,Sica Wolf,94,Finished,"Adventure,Fantasy,Romance",20740,6.92,"Siya (Story), Dongjeon (Art)","May  31, 2017 to Aug  8, 2019"
828,manhwa,Reforming the Obsessive Male Lead,NULL,Publishing,"Fantasy,Romance",15146,6.92,"Purple Lemon (Story), Debin (Art)","Jul  25, 2022 to "
829,manhwa,The Secret of the Partner Next to You,NULL,Publishing,Comedy,17824,6.92,Chaegun (Story & Art),"May  20, 2022 to "
830,manhwa,Love Bullet,NULL,Finished,"Comedy,Romance",19220,6.92,"Hwang, Mi Ri (Story & Art)",2010 to 
831,manhwa,"Oh, My Romantic Kumiho",NULL,Publishing,"Fantasy,Romance,Supernatural",18006,6.92,"Kim, Myeongmi (Story & Art)",2010 to 
832,manhwa,Nabi: The Prototype,6,Finished,Drama,16056,6.92,"Kim, Yeon-Joo (Story & Art)",Jan-05
833,manhwa,Last Fantasy,8,Finished,"Action,Adventure,Comedy,Fantasy",24809,6.92,"Creative Hon (Story), Kwon, Yong-Wan (Art)",2002 to  2004
834,manhwa,Really?!,NULL,Finished,"Drama,Romance",13647,6.92,"Lee, Hyeon-Sook (Story & Art)",NULL
835,manhwa,Memory Eaters,11,Finished,"Fantasy,Romance",15833,6.92,"Kang, Kyung-nam (Story & Art)",2006 to  2007
836,manhwa,Bell Princess,NULL,Publishing,"Drama,Fantasy,Romance",20687,6.92,"Park, Eun Ah (Story & Art)",2007 to 
837,manhwa,Strange and Beautiful,155,Finished,"Fantasy,Mystery,Romance,Supernatural",12723,6.92,Honey Bee (Story & Art),"Dec  20, 2015 to Feb  24, 2019"
838,manhwa,"If You Give Me Flowers, I'll Give You Myself",67,Finished,Romance,23446,6.91,"Jo, Yujin (Story), Homil (Art)","Jan  4, 2020 to May  9, 2021"
839,manhwa,Locker & Opener,92,Finished,Mystery,25566,6.91,"Maanchwee (Story), Bareunkkot (Art)","Dec  11, 2020 to Aug  6, 2022"
840,manhwa,Let's Hide My Little Brother,NULL,Publishing,"Fantasy,Romance",14852,6.91,"Chen, Li (Art), Chae, Jihoo (Story)","Aug  16, 2021 to "
841,manhwa,Straight to the Red Carpet,NULL,Publishing,Fantasy,16926,6.91,"Poddo (Story), Pomme (Art)","Dec  11, 2021 to "
842,manhwa,Voice of Love,36,Finished,Love,23915,6.91,Pongpong (Story & Art),"Nov  29, 2017 to Jun  27, 2018"
843,manhwa,The Dungeon Cleaning Life of a Once Genius Hunter,NULL,Publishing,"Action,Fantasy",8704,6.91,"Dalbeat (Story), Goilgoil (Art)","Jun  29, 2022 to "
844,manhwa,Bibi,49,Finished,"Drama,Romance",12856,6.91,"Choi, Kyung-ah (Story & Art)",2003 to 
845,manhwa,New Sexy Simpleton,45,Finished,"Comedy,Fantasy,Romance",15499,6.91,"Hwang, Mi Ri (Story & Art)",NULL
846,manhwa,Girl in Heels,NULL,Finished,"Drama,Romance",10244,6.91,"Chon, Kye Young (Story & Art)",2007
847,manhwa,Yoo Ah Dok-Jon,15,Finished,"Action,Comedy,Romance,Ecchi",7129,6.91,"Im, Ae-Joo (Story & Art)",2007
848,manhwa,Honorable Baek Dong Soo,65,Finished,Action,10239,6.91,"Lee, Jae-Heon (Story), Hong, Ki-Woo (Art)",2010 to  2012
849,manhwa,Beast 9,34,Finished,"Action,Comedy,Romance,Sci-Fi,Supernatural,Ecchi",7874,6.91,"Yoon, Jae Ho (Story), Park, Jin-Hwan (Art)",2010 to  2012
850,manhwa,Pet Diary,44,Finished,"Comedy,Life",13928,6.91,"Kim, Hye-Jin (Art), Yohan (Story)","Jun  4, 2007 to Feb  14, 2008"
851,manhwa,Going to You,48,Finished,Unknown,14718,6.9,"Han, Yu-Rang (Story & Art)",2008 to 
852,manhwa,Nobles' Love Company,NULL,Finished,Unknown,21010,6.9,"Han, Yu-Rang (Story & Art)",NULL
853,manhwa,New Mok Yeon-Ah Honeymoon Diary,NULL,Finished,"Comedy,Romance",23017,6.9,"Han, Yu-Rang (Story & Art)",2005 to 
854,manhwa,Metronome,NULL,Publishing,"Drama,Fantasy,Mystery,Romance,Supernatural",10344,6.9,"Lee, Won-Jin (Story & Art)","Jun  16, 2010 to "
855,manhwa,The Lady Needs a Break,NULL,Publishing,"Comedy,Fantasy,Romance",9726,6.9,"Yuin (Story), Choi, MJ (Art)","Mar  10, 2021 to "
856,manhwa,Devilish Romance,95,Finished,"Romance,Supernatural",16983,6.9,"Lee, Kong-joo (Story), Hayan Doksuri (Art)","Jul  14, 2020 to Aug  21, 2022"
857,manhwa,Protect the Knight,60,Finished,Supernatural,25957,6.9,Dalbong (Story & Art),"Apr  16, 2021 to Oct  23, 2022"
858,manhwa,It's Not Your Baby!,NULL,Publishing,"Fantasy,Romance",10679,6.9,"Team Twinkle (Art), Lee, Jihye (Story)","May  20, 2022 to "
859,manhwa,How to Live as a Villain,NULL,Publishing,"Action,Fantasy",6315,6.9,"Rundgreen (Story), Lee, Masik (Art)","Nov  9, 2021 to "
860,manhwa,The Meaning of You,82,Finished,"Fantasy,Romance",24450,6.9,"Kim, Tilda (Story), Lee, Sorok (Art)","Dec  18, 2020 to Aug  5, 2022"
861,manhwa,House Mayton's Youngest,NULL,Publishing,"Action,Adventure,Fantasy",6802,6.9,"Bichu (Story), Shin, Gunwoo (Art)","Oct  10, 2022 to "
862,manhwa,Blue Glass,NULL,Publishing,"Drama,Romance",16685,6.9,"Oh, Ji-hye (Story & Art)","Dec  1, 2014 to "
863,manhwa,Daughter of the Emperor,245,Finished,"Comedy,Drama,Fantasy",2929,6.9,"Yunsul (Story), Rino (Art)","Aug  5, 2015 to Jun  8, 2022"
864,manhwa,Mong Hwan Baegseo,NULL,Finished,"Adventure,Fantasy,Supernatural",13725,6.9,"Im, Ae-Joo (Story), Im, Jin-Joo (Art)",2003 to  2011
865,manhwa,Milkyway Hitchhiking,51,Finished,"Adventure,Comedy,Drama,Fantasy,Life,Supernatural",17438,6.9,Sirial (Story & Art),"Feb  21, 2011 to Nov  25, 2012"
866,manhwa,One-of-a-Kind Romance,160,Finished,"Comedy,Drama,Romance",20595,6.89,Dubu (Story & Art),"Apr  9, 2018 to Oct  3, 2021"
867,manhwa,The Thousand-Year Fox's Operation-Human,NULL,Finished,"Fantasy,Romance,Supernatural",21854,6.89,"Han, Yu-Rang (Story & Art)",NULL
868,manhwa,She's Gon,25,Finished,"Comedy,Fantasy",14328,6.89,"Son, Hee-Joon (Story)",2012 to 
869,manhwa,So I Married an Anti-Fan,22,Finished,"Comedy,Romance",13178,6.89,"Wann (Art), Kim, Eunjeong (Story)",2011
870,manhwa,Everyday Lily,54,Finished,"Comedy,Love",23814,6.89,Gom Mali (Story & Art),"Jun  26, 2016 to May  14, 2017"
871,manhwa,Men of the Harem,NULL,Publishing,Fantasy,8447,6.89,"Alphatart (Story), Yeongbin (Art)","Nov  24, 2020 to "
872,manhwa,Lady Chef Royale,NULL,Publishing,"Fantasy,Gourmet",10329,6.89,"Ant Studio (Art), Lysha (Story), Paya (Art)","Aug  1, 2020 to "
873,manhwa,Forest of Humans,33,Finished,Suspense,28691,6.89,"Hwang, Junho (Story & Art)","Jun  3, 2012 to Jan  20, 2013"
874,manhwa,"No Way, Vampires Don't Exist!",80,Finished,"Love,Comedy,Supernatural",23817,6.89,"Kimoong (Story), Racking (Art)","Dec  16, 2019 to Mar  22, 2021"
875,manhwa,The Snake and the Flower,85,Finished,Drama,22500,6.89,"So, Na-eum (Story & Art)","Jan  5, 2021 to Jul  13, 2022"
