sno,type,title,chapters,status,genres,popularity,score,authors,publish_time
564,manhwa,The Villainess Is Shy in Receiving Affection,NULL,Publishing,Fantasy,18207,7.12,"Ryu, Heon (Story), Chira (Art)","Feb  16, 2023 to "
565,manhwa,It's Love,42,Finished,"Comedy,Drama",9874,7.12,"Back, Sang-Eun (Story & Art)",NULL
566,manhwa,Operation Liberate Men,NULL,Publishing,"Adventure,Drama,Fantasy",15543,7.12,"Lee, Mira (Story & Art)",2000 to 
567,manhwa,Seol Hui,NULL,Publishing,"Drama,Romance,Supernatural",17969,7.12,"Kang, Kyungok (Story & Art)",2008 to 
568,manhwa,Banya: The Explosive Delivery Man,38,Finished,"Action,Adventure,Comedy,Fantasy",4875,7.11,"Kim, Young-Oh (Story & Art)","Aug  17, 2004 to Mar  4, 2006"
569,manhwa,unTouchable,140,Finished,Romance,10802,7.11,Massstar (Story & Art),"Feb  14, 2014 to Mar  3, 2017"
570,manhwa,The Warrior Returns,NULL,Publishing,"Action,Fantasy",4839,7.11,"Narack (Story), Fungback (Art)","Jun  3, 2021 to "
571,manhwa,Gimme That Pacifier!,NULL,Publishing,Fantasy,14160,7.11,"Ja, Eunhyang (Story), Heeng (Art)","Dec  31, 2021 to "
572,manhwa,Dreamcide,202,Finished,"Action,Supernatural",25376,7.11,"Shinweol (Art), Hong, Jeonghoon (Story)","Jul  5, 2016 to Jul  28, 2020"
573,manhwa,The Lady and the Beast,NULL,Publishing,"Fantasy,Romance",6270,7.1,"Maginot Seon (Story), Hongseul (Art)","Sep  9, 2020 to "
574,manhwa,There Must Be Happy Endings,NULL,Publishing,Romance,11387,7.1,"Flada (Story), Jaerim (Art)","Apr  23, 2021 to "
575,manhwa,The Build Up,NULL,Publishing,Sports,17004,7.1,911 (Story & Art),"Jul  28, 2020 to "
576,manhwa,Memorize,NULL,Publishing,"Action,Adventure,Fantasy",4600,7.1,"Jeongha (Art), Ro, Yu-jin (Story)","Sep  25, 2020 to "
577,manhwa,The Nuna at Our Office,65,Finished,Romance,12318,7.1,"Palmeiro (Story), Wasakbasak (Art)","Sep  28, 2020 to Nov  8, 2021"
578,manhwa,How to Hide the Emperor's Child,NULL,Publishing,"Drama,Fantasy",7692,7.1,"Lee, Yeonseon (Story), Ssal (Art)","Feb  3, 2022 to "
579,manhwa,Return of the Bloodthirsty Police,NULL,Publishing,Action,18095,7.1,"Lee, Yoon-Kyoon (Art), Lee, Jehwan (Story)","Apr  14, 2023 to "
580,manhwa,Yeonmo,44,Finished,"Drama,Romance",14853,7.1,"Lee, So Young (Story & Art)",2011 to  2014
581,manhwa,Roureville,24,Finished,"Adventure,Love,Comedy,Drama,Life,Supernatural",24781,7.1,"Hae, E. (Story & Art)","Sep  1, 2006 to Dec  18, 2009"
582,manhwa,Normal City,121,Finished,"Drama,Romance,Sci-Fi",17087,7.1,"Kang, Kyungok (Story & Art)",NULL
583,manhwa,I'm at End of Your Sight,NULL,Publishing,"Drama,Romance,Life",17207,7.1,"Seo, Moon Da Mi (Story & Art)",2008 to 
584,manhwa,Trump!,NULL,Publishing,"Action,Comedy",9208,7.1,"Jung, Hyun-Joo (Story & Art)",2008 to 
585,manhwa,Island,46,Finished,"Action,Horror,Supernatural",6022,7.09,"Yoon, In-Wan (Story), Yang, Kyung-il (Art)",1997 to  2001
586,manhwa,Queens,26,Finished,"Comedy,Romance",19340,7.09,"Ha, Sung-Hyun (Story & Art)",2003 to  2004
